Partlist

Exported from aleph.brd at 8/13/13 12:54 PM

EAGLE Version 6.4.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package          Library               Position (inch)       Orientation

R60      270                R0603            rc-master-smd         (10.925 2.625)        R90
R61      150                R0603            rc-master-smd         (14.225 2.625)        R180
R62      10k                R0603            rc-master-smd         (11.675 2.6)          R90
R63      10k                R0603            rc-master-smd         (11.75 2.6)           R90
R64      10k                R0603            rc-master-smd         (12.175 2.6)          R90
R65      10k                R0603            rc-master-smd         (12.25 2.6)           R90
R66      10k                R0603            rc-master-smd         (12.675 2.6)          R90
R67      10k                R0603            rc-master-smd         (12.75 2.6)           R90
R68      10k                R0603            rc-master-smd         (13.175 2.6)          R90
R69      10k                R0603            rc-master-smd         (13.25 2.6)           R90
R70      11k                R0603            rc-master-smd         (1.925 2.575)         R0
R71      5k49               R0603            rc-master-smd         (2.0625 2.575)        R180
R72      0                  R0603            rc-master-smd         (3.475 2.375)         R180
R73      100k               R0603            rc-master-smd         (9.875 2.3)           R90
R74      100k               R0603            rc-master-smd         (10.675 2.3)          R90
R75      5k76               R0603            rc-master-smd         (1.425 2.25)          R180
R76      5k76               R0603            rc-master-smd         (1.575 2.25)          R180
R77      470k               R0603            rc-master-smd         (9.4 2.25)            R90
R78      470k               R0603            rc-master-smd         (10.2 2.25)           R90
R79      4k7                R0603            rc-master-smd         (9.6 2.15)            R0
R80      4k7                R0603            rc-master-smd         (10.4 2.15)           R0
R81      5k49               R0603            rc-master-smd         (0.3875 1.975)        R180
R82      604                R0603            rc-master-smd         (0.5375 1.975)        R0
R83      604                R0603            rc-master-smd         (0.7125 1.975)        R180
R84      5k49               R0603            rc-master-smd         (0.8625 1.975)        R0
R85      100k               R0603            rc-master-smd         (7.975 1.95)          R180
R86      100k               R0603            rc-master-smd         (8.45 1.95)           R180
R87      1k                 R0603            rc-master-smd         (8.675 1.95)          R90
R88      1k                 R0603            rc-master-smd         (8.75 1.95)           R90
R89      11k                R0603            rc-master-smd         (0.275 1.875)         R270
R90      3k32               R0603            rc-master-smd         (0.35 1.875)          R90
R91      3k32               R0603            rc-master-smd         (0.9 1.875)           R90
R92      11k                R0603            rc-master-smd         (0.975 1.875)         R270
R93      10k                R0603            rc-master-smd         (9.175 1.85)          R0
R94      10k                R0603            rc-master-smd         (9.825 1.85)          R0
R95      10k                R0603            rc-master-smd         (10.475 1.85)         R0
R96      5k49               R0603            rc-master-smd         (0.275 1.7375)        R90
R97      1k65               R0603            rc-master-smd         (0.35 1.7375)         R90
R98      1k65               R0603            rc-master-smd         (0.9 1.7375)          R90
R99      5k49               R0603            rc-master-smd         (0.975 1.7375)        R90
R100     750k               R0603            rc-master-smd         (1.3125 1.7375)       R90
R101     10k                R0603            rc-master-smd         (8.025 1.725)         R90
R102     5k76               R0603            rc-master-smd         (1.425 1.7)           R180
R103     5k76               R0603            rc-master-smd         (1.575 1.7)           R0
R104     10k                R0603            rc-master-smd         (8.5 1.7)             R90
R105     270                R0603            rc-master-smd         (9.025 1.7)           R90
R106     270                R0603            rc-master-smd         (9.675 1.7)           R90
R107     270                R0603            rc-master-smd         (10.325 1.7)          R90
R108     10k                R0603            rc-master-smd         (9.175 1.65)          R0
R109     10k                R0603            rc-master-smd         (9.825 1.65)          R0
R110     10k                R0603            rc-master-smd         (10.475 1.65)         R0
R111     2k74               R0603            rc-master-smd         (0.35 1.625)          R180
R112     2k74               R0603            rc-master-smd         (0.75 1.625)          R180
R113     4k7                R0603            rc-master-smd         (8.4625 1.5875)       R0
R114     4k7                R0603            rc-master-smd         (8.025 1.575)         R90
R115     1k                 R0603            rc-master-smd         (11.275 1.575)        R0
R116     5k76               R0603            rc-master-smd         (1.425 1.55)          R180
R117     5k76               R0603            rc-master-smd         (1.575 1.55)          R180
R118     33                 R0603            rc-master-smd         (2.8125 1.4375)       R0
R119     470k               R0603            rc-master-smd         (8.9 1.375)           R0
R120     470k               R0603            rc-master-smd         (9.55 1.375)          R0
R121     470k               R0603            rc-master-smd         (10.2 1.375)          R0
R122     56k                R0603            rc-master-smd         (9.8 1.35)            R0
R123     100k               R0603            rc-master-smd         (9.95 1.35)           R0
R124     56k                R0603            rc-master-smd         (10.45 1.35)          R0
R125     100k               R0603            rc-master-smd         (10.6 1.35)           R0
R126     562                R0603            rc-master-smd         (2.1375 1.3)          R180
R127     100k               R0603            rc-master-smd         (8.125 1.125)         R270
R128     100k               R0603            rc-master-smd         (8.525 1.125)         R270
R129     750k               R0603            rc-master-smd         (1.3125 1.0375)       R90
R130     5k76               R0603            rc-master-smd         (1.425 1)             R180
R131     5k76               R0603            rc-master-smd         (1.575 1)             R0
R132     100k               R0603            rc-master-smd         (8.125 0.975)         R270
R133     100k               R0603            rc-master-smd         (8.525 0.975)         R270
R134     100k               R0603            rc-master-smd         (5.25 0.725)          R180
R135     82k                R0603            rc-master-smd         (12 0.7)              R90
R136     18k                R0603            rc-master-smd         (12.075 0.7)          R90
R137     100k               R0603            rc-master-smd         (5.25 0.65)           R180
R138     100k               R0603            rc-master-smd         (5.25 0.575)          R180
R139     100k               R0603            rc-master-smd         (5.25 0.5)            R180
R140     0                  R0603            rc-master-smd         (3.125 0.425)         R270
R141     100k               R0603            rc-master-smd         (5.25 0.425)          R180
R142     18k                R0603            rc-master-smd         (1.825 0.375)         R0
R143     4k7                R0603            rc-master-smd         (2.825 0.375)         R270
R144     0                  R0603            rc-master-smd         (2.9 0.375)           R270
R145     4k7                R0603            rc-master-smd         (2.975 0.375)         R270
R146     100k               R0603            rc-master-smd         (5.25 0.35)           R180
R147     82k                R0603            rc-master-smd         (8.7 0.35)            R90
R148     18k                R0603            rc-master-smd         (8.775 0.35)          R270
R149     82k                R0603            rc-master-smd         (9.5 0.35)            R90
R150     18k                R0603            rc-master-smd         (9.575 0.35)          R270
R151     82k                R0603            rc-master-smd         (10.3 0.35)           R90
R152     18k                R0603            rc-master-smd         (10.375 0.35)         R90
R153     82k                R0603            rc-master-smd         (11.1 0.35)           R90
R154     18k                R0603            rc-master-smd         (11.175 0.35)         R90
R155     82k                R0603            rc-master-smd         (1.825 0.3)           R0
R156     82k                R0603            rc-master-smd         (1.825 0.225)         R0
R157     18k                R0603            rc-master-smd         (1.825 0.15)          R0
R158     150                R0603            rc-master-smd         (5.15 0.15)           R90
R159     10k                R0603            rc-master-smd         (4.45 0.1)            R270
R160     22                 R0603            rc-master-smd         (4.1375 0.95)         MR90
R161     10k                R0603            rc-master-smd         (3.375 1.05)          MR270
R162     10k                R0603            rc-master-smd         (3.3 1.05)            MR270
R163     237                R0603            rc-master-smd         (1.475 1.2)           MR270
R164     237                R0603            rc-master-smd         (1.475 1.35)          MR90
R165     10k                R0603            rc-master-smd         (2.8125 1.4375)       MR0
R166     10k                R0603            rc-master-smd         (2.525 1.4875)        MR90
R167     39                 R0603            rc-master-smd         (4.7 1.7)             MR0
R168     39                 R0603            rc-master-smd         (4.7 1.775)           MR0
R169     10k                R0603            rc-master-smd         (4 1.8125)            MR0
R170     10k                R0603            rc-master-smd         (4 1.8875)            MR0
R171     237                R0603            rc-master-smd         (1.475 1.9)           MR270
R172     237                R0603            rc-master-smd         (1.475 2.05)          MR90
R173     100k               R0603            rc-master-smd         (3.25 2.0625)         MR180
R174     49k9               R0603            rc-master-smd         (0.75 2.075)          MR0
R175     49k9               R0603            rc-master-smd         (0.5 2.075)           MR180
R176     10k                R0603            rc-master-smd         (3.25 2.1375)         MR0
R177     0                  R0603            rc-master-smd         (5.375 2.2125)        MR270
R178     33                 R0603            rc-master-smd         (3.225 2.3)           MR90
R179     10k                R0603            rc-master-smd         (3.075 2.3)           MR90
R180     0                  R0603            rc-master-smd         (5.55 2.4)            MR180
R181     49k9               R0603            rc-master-smd         (1.725 2.8)           MR90
R182     237                R0603            rc-master-smd         (3 2.9)               MR270
R183     237                R0603            rc-master-smd         (2.55 2.9)            MR270
R184     237                R0603            rc-master-smd         (3 3.05)              MR90
R185     237                R0603            rc-master-smd         (2.55 3.05)           MR90
R186     49k9               R0603            rc-master-smd         (1.725 3.05)          MR270
R187     47k                R0603            rc-master-smd         (6.275 3.425)         MR180
R188     330k               R0603            rc-master-smd         (6.125 3.425)         MR0
R189     22                 R0603            rc-master-smd         (5.1 3.675)           MR90
R190     22                 R0603            rc-master-smd         (5.025 3.675)         MR270
R191     1k                 R0603            rc-master-smd         (6.425 3.75)          MR270
R192     117k               R0603            rc-master-smd         (6.7 3.8)             MR0
R193     10k                R0603            rc-master-smd         (6.275 3.925)         MR0
R194     13k3               R0603            rc-master-smd         (6.7 3.95)            MR180
R195     10k                R0603            rc-master-smd         (4.525 4.05)          MR0
R196     10k                R0603            rc-master-smd         (4.525 4.125)         MR0
S1       SDMMC06132         06132            monome-inc            (5.925 1)             R0
SW1      PANASONIC-EVQ      PANASONIC-EVQ    monome-inc            (4.325 0.175)         R270
TP-GND                      1X01             pinhead               (6.5 4.225)           R0
U1       BAS70-04           SOT23            diode                 (4.025 4)             R270
U2       LMR62014           SOT23-5          monome-inc            (6.7 3.875)           R90
U3       BAS70-04           SOT23            diode                 (4.025 3.85)          R270
U4       TPS2020            SO08             monome-inc            (4.3 3.625)           R0
U5       LM2678             TO263-7          monome-inc            (5.775 3.375)         R0
U6       ATMEGA32U4-AU      TQFP44           monome-inc            (4.8 3.25)            R0
U7       ADP3339            SOT223           monome-inc            (5.3 3.2125)          R180
U8       TPA6111A2          SO08             monome-inc            (0.45 3.075)          R270
U9       ADP3339            SOT223           monome-inc            (3.825 2.875)         R90
U10      FDS9431A           SO08             monome-inc            (4 2.45)              R0
U11      BAS70-04           SOT23            diode                 (11.75 2.45)          R270
U12      BAS70-04           SOT23            diode                 (12.25 2.45)          R270
U13      BAS70-04           SOT23            diode                 (12.75 2.45)          R270
U14      BAS70-04           SOT23            diode                 (13.25 2.45)          R270
U15      AT32UC3A0512       LQFP144          atmel-avr32           (5.275 2.125)         R180
U16      CY62167EV30-Z      TSOP48           memory-cypress        (6.225 2.125)         R0
U17      AD1939             SQFP-S-10X10-64  monome-inc            (2.475 1.625)         R0
U18      TL072D             SO08             linear                (9.175 1.5)           R270
U19      TL072D             SO08             linear                (9.825 1.5)           R270
U20      TL072D             SO08             linear                (10.475 1.5)          R270
U21      AD7923             TSSOP16          monome-inc            (11.075 1.475)        R0
U22      LM4040M3           SOT23            diode                 (11.275 1.4)          R90
U23      MT48LC32M16A2tg-75 TSOP54           monome-inc            (4.025 0.725)         R0
U24      AD5686R            TSSOP16          monome-inc            (2.7 0.7)             R270
U25      74HC14D            SO14             74xx-us               (11.725 0.65)         R90
U26      SN74LVC2G14        SOT23-6          monome-inc            (2.025 0.15)          R270
VDDINT   TPS-SMD-10R        SMD-10R          testpoint             (3.675 2.375)         R0
VDDOUT   TPS-SMD-10R        SMD-10R          testpoint             (5.3625 2.625)        R180
X1       16mhz              NX5032           monome-inc            (4.7875 2.925)        MR0
Y1       ASFL1-27mhz        ASFL1            crystal               (3.15 2.4)            R0
Y2       12mhz              HC49UP@1         crystal               (5.275 1.375)         R0
Y3       ASFL1-12.288mhz    ASFL1            crystal               (2.7625 1.3)          R0
